,0,0,0,0_avg,5,5,5,5_avg,10,10,10,10_avg,20,20,20,20_avg,30,30,30,30_avg,40,40,40,40_avg
0,57,57,57,57.0,53,54,54,53.666666666666664,53,53,52,52.666666666666664,40,42,41,41.0,34,37,35,35.333333333333336,33,26,33,30.666666666666668
1,57,57,57,57.0,56,54,57,55.666666666666664,49,49,47,48.333333333333336,36,37,35,36.0,33,26,26,28.333333333333332,26,95,95,72.0
2,57,57,57,57.0,53,53,51,52.333333333333336,49,49,49,49.0,44,44,44,44.0,57,40,39,45.333333333333336,33,33,33,33.0
3,59,59,59,59.0,57,59,58,58.0,55,54,53,54.0,44,45,45,44.666666666666664,37,40,39,38.666666666666664,33,32,33,32.666666666666664
4,59,59,59,59.0,53,59,49,53.666666666666664,54,52,50,52.0,38,40,38,38.666666666666664,35,34,36,35.0,26,25,26,25.666666666666668
5,59,59,59,59.0,56,56,56,56.0,53,53,52,52.666666666666664,48,47,49,48.0,59,43,43,48.333333333333336,37,36,36,36.333333333333336
6,57,57,57,57.0,55,57,57,56.333333333333336,51,52,51,51.333333333333336,45,41,41,42.333333333333336,36,37,37,36.666666666666664,32,26,33,30.333333333333332
7,57,57,57,57.0,51,53,54,52.666666666666664,48,49,48,48.333333333333336,35,36,36,35.666666666666664,32,26,26,28.0,26,26,26,26.0
8,57,57,57,57.0,51,52,54,52.333333333333336,50,50,48,49.333333333333336,44,44,44,44.0,40,40,41,40.333333333333336,34,34,33,33.666666666666664
