,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,25,3.24150379562968,4.13324249245304,6.18697270959439,-6.784965269743,5.53482341033629,4.52303351585292,2.85258498838809,-20.6504551544069,3.52271944655607,4.42361003567075,3.64706940331192,-8.71655876950109,3.25377288290176,4.20791948340971,5.00289795663824,-30.4283011296269,5.4841572665654,4.62129223928628,4.61578630690187,-47.4055764272324,4.97408362690663,3.85119596543393,4.08459955238229,-11.5560508963591,2.68576962383025,3.36515341366268,3.7163889205724,-7.15161081028265,6.86491475283842,4.99441466266666,5.22120361260434,-15.890294282501,6.99240387268861,6.57632590852401,5.75389384906111,-4.15366416183008,-13.913626248456,-2.11651185845571,-11.2280960885359,-0.475580734525664,-1.39316661647885,3.94758051927101,2.53893892448369,-0.00414202687301213,-8.02749831983456,-1.4515039361313,-2.52668674898854,-0.192680116639195,3.50615061738745,3.80265769814704,-1.4180456666754,-12.9574851366073,8.86007696176239,5.96728849055597,3.55611464807842,-24.3087412429377,4.14085746510526,3.43113819608237,4.43294853655797,-15.517821584398,3.7142180351336,2.91078935030225,2.95486723037249,8.44444315414029,4.72947646787603,4.78791513566262,3.99843405246907,4.26560333233954,2.93948399460689,3.15211763362251,4.34108576853936,-7.13564334382403,-9.54398071936598,-6.93281636648263,-8.5354496985984,10.6204398830972,-3.13111386981518,-0.470548735738959,-1.50475868304781,-52.339197214785,-8.40071146663561,-8.17854609858114,-8.79144278374619,-11.8706095013559,-15.1039729651741,-2.45427997627138,-5.71083049846879,-0.0834813298920665,-20.2882681752854,-27.3973101922178,-16.2561038711319,0.00550499296946327,-15.4243098746206,-21.9240766663211,-16.2335127427026,0.0499453541541186
,26,7.02325822386402,8.95535873364818,13.405107537455,-14.7007580844433,11.9921173890619,9.79990595101455,6.18060080817406,-44.7426528345482,7.63255880087138,9.58448841062025,7.90198370717579,-18.8858773339183,7.04984124628714,9.11715888072123,10.8396122393832,-65.9279857808584,11.882340744225,10.0127998517871,10.0008703316205,-102.712082259004,10.7771811916309,8.34425792510692,8.84996569682832,-25.0381102754446,5.81916751829928,7.29116572960251,8.05217599457353,-15.4951567556124,14.8739819644836,10.8212317691108,11.3126078273095,-34.4289709454192,15.1502083908253,14.2487061351354,12.4667700062992,-8.99960568396557,-30.146190204988,-4.5857756933207,-24.3275415251611,-1.0304249248058,-3.01852766903741,8.55309112508726,5.50103433638142,-0.00897439155832558,-17.3929130263079,-3.14492519495116,-5.47448795614187,-0.417473586051557,7.59665967100614,8.23909167931856,-3.07243227779637,-28.074551129315,19.1968334171521,12.929125062871,7.7049150708369,-52.6689393596982,8.97185784106119,7.43413275817861,9.60472182920884,-33.6219467661959,8.04747240945616,6.30671025898835,6.40221233247408,18.296293500637,10.2471990137315,10.3738161272691,8.66327378034961,9.24214055340246,6.36888198831502,6.82958820618214,9.40568583183531,-15.4605605782856,-20.6786248919599,-15.0211021273791,-18.4934743469631,23.010953080044,-6.78408005126616,-1.01952226076807,-3.26031047993689,-113.401593965368,-18.2015415110439,-17.7201832135924,-19.04812603145,-25.7196539196044,-32.7252747578772,-5.31760661525459,-12.3734660800156,-0.180876214766016,-43.9579143797847,-59.3608387498049,-35.2215583874521,0.0119274847671704,-33.4193380616779,-47.5021661103622,-35.1726109425223,0.108214934000557
,27,6.48300759125911,8.26648498490624,12.3739454191892,-13.5699305394865,11.0696468206725,9.04606703170572,5.70516997677626,-41.3009103088133,7.04543889311182,8.84722007134178,7.29413880662381,-17.433117539001,6.50754576580351,8.41583896681982,10.005795913277,-60.8566022592539,10.968314533131,9.2425844785727,9.23157261380334,-94.811152854465,9.94816725381318,7.70239193086812,8.16919910476457,-23.1121017927181,5.3715392476611,6.73030682732539,7.4327778411448,-14.3032216205658,13.7298295056771,9.98882932533283,10.4424072252086,-31.7805885650027,13.984807745377,13.1526518170481,11.5077876981224,-8.30732832366056,-27.8272524969119,-4.23302371691119,-22.4561921770718,-0.951161469051527,-2.78633323295762,7.89516103854186,5.07787784896746,-0.00828405374636532,-16.0549966396688,-2.90300787226261,-5.05337349797711,-0.385360233278362,7.0123012347749,7.60531539629383,-2.83609133335028,-25.9149702732138,17.7201539235249,11.9345769811115,7.11222929615735,-48.6174824858749,8.28171493021034,6.86227639216511,8.86589707311586,-31.0356431687962,7.42843607026722,5.82157870060462,5.90973446074528,16.8888863082803,9.45895293575214,9.57583027132506,7.9968681049381,8.53120666467919,5.87896798921366,6.30423526724505,8.68217153707874,-14.2712866876482,-19.0879614387322,-13.8656327329653,-17.0708993971967,21.2408797661944,-6.26222773963053,-0.941097471478429,-3.00951736609579,-104.67839442957,-16.8014229332711,-16.3570921971622,-17.5828855674923,-23.7412190027118,-30.2079459303482,-4.90855995254225,-11.4216609969374,-0.166962659784247,-40.5765363505705,-54.7946203844352,-32.5122077422633,0.0110099859389265,-30.8486197492409,-43.8481533326418,-32.4670254854055,0.0998907083080098
,28,6.48300759125894,8.26648498490681,12.3739454191886,-13.5699305394876,11.0696468206724,9.04606703170532,5.70516997677575,-41.3009103088136,7.04543889311265,8.84722007134215,7.29413880662324,-17.4331175390005,6.5075457658042,8.41583896681996,10.0057959132768,-60.8566022592539,10.9683145331301,9.24258447857355,9.23157261380385,-94.811152854465,9.9481672538144,7.70239193086914,8.1691991047644,-23.1121017927179,5.37153924766099,6.73030682732562,7.4327778411448,-14.303221620565,13.729829505676,9.98882932533292,10.4424072252076,-31.7805885650018,13.9848077453762,13.1526518170479,11.5077876981224,-8.30732832365982,-27.8272524969121,-4.23302371691139,-22.4561921770719,-0.951161469050959,-2.78633323295668,7.895161038542,5.07787784896846,-0.00828405374497265,-16.0549966396685,-2.90300787226192,-5.05337349797796,-0.385360233278362,7.01230123477484,7.6053153962938,-2.83609133335074,-25.9149702732141,17.7201539235249,11.9345769811118,7.11222929615772,-48.6174824858753,8.28171493021003,6.86227639216435,8.865897073116,-31.035643168796,7.42843607026722,5.82157870060382,5.90973446074506,16.8888863082812,9.45895293575219,9.5758302713248,7.99686810493751,8.5312066646789,5.87896798921292,6.3042352672451,8.68217153707926,-14.2712866876485,-19.0879614387318,-13.8656327329654,-17.0708993971972,21.2408797661943,-6.26222773963036,-0.941097471478741,-3.00951736609571,-104.678394429571,-16.8014229332707,-16.3570921971621,-17.582885567492,-23.7412190027114,-30.2079459303482,-4.90855995254213,-11.4216609969369,-0.166962659783536,-40.5765363505717,-54.7946203844345,-32.5122077422636,0.0110099859391255,-30.8486197492415,-43.8481533326423,-32.4670254854047,0.0998907083082656
,29,6.48300759126215,8.26648498490255,12.3739454191897,-13.5699305394794,11.0696468206735,9.04606703170793,5.70516997678089,-41.3009103088096,7.04543889310861,8.84722007134053,7.29413880662779,-17.4331175390055,6.50754576579953,8.41583896681703,10.0057959132768,-60.856602259255,10.9683145331379,9.24258447856465,9.23157261380291,-94.8111528544665,9.94816725380485,7.70239193086047,8.16919910476599,-23.1121017927196,5.37153924766034,6.73030682732457,7.43277784114559,-14.3032216205701,13.729829505684,9.98882932533377,10.4424072252143,-31.7805885650032,13.9848077453821,13.1526518170498,11.5077876981195,-8.30732832366238,-27.8272524969121,-4.23302371691028,-22.4561921770724,-0.951161469053403,-2.78633323296361,7.89516103854217,5.07787784896072,-0.00828405375375496,-16.0549966396709,-2.90300787226738,-5.05337349797136,-0.385360233278362,7.01230123477529,7.60531539629372,-2.83609133334863,-25.9149702732144,17.7201539235264,11.9345769811114,7.11222929615559,-48.6174824858696,8.28171493021438,6.8622763921679,8.86589707311464,-31.0356431687993,7.42843607026802,5.82157870061042,5.90973446074582,16.8888863082728,9.45895293575254,9.57583027132733,7.99686810494148,8.53120666468232,5.87896798921909,6.30423526724383,8.68217153707536,-14.2712866876456,-19.087961438734,-13.8656327329649,-17.0708993971929,21.2408797661915,-6.26222773963022,-0.941097471477292,-3.00951736609511,-104.678394429565,-16.8014229332728,-16.357092197163,-17.5828855674935,-23.7412190027146,-30.207945930347,-4.90855995254424,-11.4216609969429,-0.166962659787913,-40.576536350565,-54.7946203844425,-32.5122077422624,0.0110099859369654,-30.848619749239,-43.8481533326412,-32.4670254854111,0.0998907083067024
,30,6.46268756211538,8.31366690751258,12.5547687335337,-13.2838008766988,11.0925073387972,9.03574487705197,5.76421897784667,-40.2419277095715,7.03037776481517,8.85280830149955,7.27263608082194,-17.2604615646303,6.51015259811214,8.40928456761256,10.0865990127555,-60.8525029836424,10.9848674824135,9.23007151998868,9.22563081822847,-93.8242248558365,9.97615649518184,7.72296622444091,8.12906822078079,-23.33992560186,5.55085581296072,6.84252704651163,7.56546392437869,-13.9481016718137,13.6659485434552,9.94129964834312,10.3988615505855,-30.7279996776534,13.8197299884243,13.2016299299111,11.4855409194592,-8.06702710925555,-27.2010191514814,-3.73275426708776,-21.8216167778946,-0.994104476594856,-2.16129298782639,8.06067655220241,5.3286366573027,0.027622011480446,-15.2812543117751,-2.29027816949036,-4.44077770648147,-0.40314623991074,6.96174404022082,7.59854623034462,-2.6347713840712,-26.2913512076669,18.0219472692014,11.9111902307042,7.08844618846109,-49.5836316851678,8.24947418589596,6.84209107188846,8.92312634605921,-31.6401244246267,7.46536194061778,5.81300489877154,5.85360505198375,16.572618046881,9.44118321916653,9.55889227094434,8.00727311246828,8.07343546938392,5.88345361688945,6.32270319713197,8.70257171095506,-14.8964350270095,-18.6383948694823,-13.4223148682245,-16.615667195452,21.0092068605005,-5.80378360813685,-0.613427437013229,-2.46406652804549,-105.046868436696,-16.4041833617886,-15.7913670999626,-17.1338344362797,-24.5463965323498,-29.8937337889316,-4.98430893853379,-11.4283084291044,-0.150081997775459,-39.5373709484294,-53.682070490626,-31.3782725823233,0.0215342241684766,-30.6289162291546,-43.7357754401025,-32.3156519217898,0.152885861284858
,31,6.67257276379871,7.98502792237292,11.4420262193043,-15.099594785001,11.0083263380774,9.1263829685617,5.45791902346298,-46.9007669349642,7.2166425753841,8.79587482545008,7.40966639735876,-18.5378193912226,6.47298782026334,8.47653043190397,9.60948528143837,-61.2452709351341,10.9039932697999,9.36537213512202,9.28770677398325,-100.522472961166,9.80966391682981,7.6510162042423,8.41258585259089,-22.1227543286684,4.75272930708829,6.25198861708458,6.93347704066261,-16.2236355791369,14.129795072236,10.3515581336333,10.6418973691121,-37.3797725026366,14.874890273499,13.140488737148,11.8091014536844,-9.5188335410254,-31.0642842230772,-6.64630028414251,-25.6608264191755,-0.697131857638368,-5.68425755031623,7.25169428025762,3.98768314824036,-0.201097986482949,-19.898490977428,-5.82239032748953,-7.95692157876491,-0.290511839059292,7.35598347387958,7.69073872380787,-4.27367721037868,-24.1930792051237,16.0081531926742,12.0779842928622,7.26716977786776,-43.8540915794168,8.49472427380596,6.962095854479,8.59170043058492,-28.1324887926655,7.19304502607082,5.91401834236038,6.23346399791191,18.6487583613908,9.56743116230268,9.67813180725449,7.93485399005402,10.9659410507864,5.87065138680393,6.20926344180117,8.59318856792848,-11.0746189153392,-21.3321278017514,-16.064095916453,-19.4413584703971,22.5676903396342,-8.38384189036313,-2.50719087401751,-5.62813980072576,-103.669622575199,-18.8513214273619,-19.2442078624782,-19.8953938922684,-19.647773045281,-31.962891838947,-4.60533921604485,-11.4588098489844,-0.254084271368157,-45.6768451878237,-60.5221472965549,-38.077921247612,-0.0634813766487241,-32.1661963778464,-44.5816764132521,-33.4659229851188,-0.243981169778465
,32,6.3088805019741,7.65275517343042,9.09982282133961,-18.4953506283192,10.2930996186668,9.03745543385509,4.30234058637683,-59.4536021477115,6.72870812030038,8.88069671827856,7.61802318133107,-19.5526979985051,6.59427431849886,8.33999969463954,8.45456655529685,-59.3348730080166,10.5305462376409,9.1043331442969,9.23095185944942,-109.645123706451,9.46909053129977,7.0013872766404,8.66146435816731,-18.5133234449851,0.899160647166894,4.3756276904133,4.32672614284738,-20.2483148851545,14.5002413007835,10.1895990759516,11.3590610409074,-49.6291062466392,16.6496552232291,11.2025119350916,11.054997887282,-12.829650408789,-38.7750428564011,-13.6613713508227,-33.899735753818,-0.381908057493035,-15.0050396555808,4.12675770182173,-0.0882089798323591,-0.631175351020374,-30.2480217366447,-14.6968428795304,-16.9179527128258,-0.13026248047575,7.41793235555997,7.41852342882899,-4.30714854038297,-18.3814984886582,13.2035890451129,12.1847741185339,7.3019999329135,-30.9491158411156,8.56186109750314,7.26289478322238,7.71939333692131,-19.5461196359242,7.04199548206321,5.71555954635832,6.74765219049502,21.758233916345,9.72742619573071,9.84530261047908,7.89769456415914,16.2221119219478,5.71268436977857,5.96038974265178,8.27297561239891,-3.31606326133698,-27.2432988081896,-21.9868447097095,-24.8502669894862,24.6348211508325,-15.1468610797416,-7.01698527029419,-13.2048810719919,-94.3185486334794,-23.6815852601803,-26.3245777181172,-25.4230903769794,-9.33719310827865,-35.0327921049936,-3.23705241163464,-11.0274726385535,-0.433641551955958,-59.9662248323238,-74.3212969368794,-53.4551565037755,-0.0234895816523135,-33.899173159681,-45.2102388883763,-34.1491523965847,-0.434163900160058
,33,5.97830281138326,7.56596442748005,8.1807883841015,-19.2563703200484,9.94811762593235,9.11454372320677,3.53821396602578,-65.2002467764194,6.30048816990316,9.0193519343706,7.91023045023863,-17.4289599938852,6.62288164162936,8.38282064591849,7.71607244919647,-53.3472952701013,10.3733502102386,8.80745490943897,8.72861538403558,-106.524148490356,8.88387948473982,6.53394713354376,8.71216497513512,-12.4457665121689,-5.61087090132054,1.52848224194173,0.112326626573207,-21.1975651579824,14.0892717053979,9.32445227318377,11.8545750117312,-55.0064356037818,17.6998624409915,7.18780878875242,8.44251972407295,-14.3183694094192,-43.9815835086935,-20.9955750577343,-40.2966560275325,-0.395235350560228,-26.4191627652592,-0.852827560976522,-6.07386980127055,-0.637980537600811,-39.1995935296836,-23.6923422385894,-26.1861461085002,0.235459632157358,7.13365192133617,7.09499604224655,-1.19695000038806,-11.503148601621,12.7819939643194,12.3842515045471,7.47638405273628,-17.9708412481915,8.50488413431117,7.32981257954853,7.20383007508781,-10.6701833832011,7.10869359715426,5.1685239549083,6.54723880249955,22.8156738056722,9.38116943673734,9.4748434093357,7.64425329183771,18.8056565173864,5.53861640335197,5.86565727019862,7.68954928703775,3.02081896397641,-32.6317853171492,-27.3548848001016,-28.9696378701655,24.7758402708135,-24.1079585412067,-12.9257139564992,-22.0567546932551,-76.5953396605579,-27.4809292637148,-32.1004199757595,-29.5051317190919,-1.96119310164892,-36.1756728042643,-0.944456061267601,-9.75655128074834,-0.86618246065089,-72.9955921679769,-84.2798700690033,-68.6067898007969,-0.185051284194458,-32.9077946038453,-43.4578140146509,-32.1042679060669,-0.227706987265663
,34,6.70925167267981,7.90669853712021,8.83550752419796,-16.7707412660887,10.2641160961805,9.45511809417198,3.75147827577973,-62.594245943827,6.8759359094133,9.03119152565955,8.43333995955837,-12.2176473495136,6.95301456571627,8.88287727384528,7.54546120650394,-44.5603188237498,10.6211561985977,9.3245131153619,8.72231772586733,-91.9412746892437,8.36882899394408,6.5686402164838,8.76146706542755,-3.82432894286183,-13.5081311579148,-2.02475864264932,-5.45306436046897,-18.9933381278208,13.6667559500146,8.76038670435727,12.2453498108766,-52.8094432810582,18.8375865478887,1.77429880414221,4.29740276219374,-12.7173317595863,-45.9018171238841,-27.7876497319618,-43.6147634634678,0.138499780849145,-39.1016218181176,-7.6970241146409,-13.7904890181717,-0.297877227728407,-46.0425097869827,-32.2184903742068,-34.4832913884407,0.791945948152346,7.41132848723234,7.54677733139636,2.21998080993586,-4.5258235571124,13.133119447264,12.6966992065261,8.09275795066335,-5.46345981022779,8.92713580783823,7.14924302817715,7.27357538092843,-2.8389038211044,6.99250086301197,5.40043537090037,6.50191401447989,23.6169394253661,8.89781530197288,8.99194622863288,7.34019678975392,19.8082193891918,5.64537683384438,6.35474626408072,7.21289092975829,8.49131332129235,-36.2472121887527,-31.5449150947101,-31.3004773484925,25.072744777348,-34.8837516931158,-20.2710794954521,-32.5200286699371,-55.0331825356128,-30.0374465187409,-36.0242320598987,-32.1448626480878,3.36933570220083,-34.9395805012696,1.90880325570777,-6.63762437727755,-0.463408155616833,-81.1256574036653,-87.7825020022861,-82.2076006582676,-0.32149748786847,-28.3553036730597,-38.4163341549103,-27.2359380627332,-0.0274078756572749
